recipe_id,recipe_name,ingredient_id,ingredient_name,quantity,unit,weight_gram,source_ingredient_text,match_type
23,Beef and Barley Stew,120,Parsley,1,bunch,,1 bunch parsley,exact_name
23,Beef and Barley Stew,163,Oil,2,tablespoons,,2 tablespoons vegetable oil,exact_name
23,Beef and Barley Stew,117,Mushrooms,1,lb,450,1 lb (450 g) mushrooms,exact_name
23,Beef and Barley Stew,42,Chickpeas (canned),1,count,,1 pkg frozen green beans,normalized_or_substitute
23,Beef and Barley Stew,114,Garlic,3,cloves,,3 cloves halved garlic,exact_name
23,Beef and Barley Stew,106,Celery,3,stalks,,3 stalks celery,exact_name
23,Beef and Barley Stew,94,Carrots,4,count,,4 large carrots,exact_name
24,Maffé (West African Peanut Stew) I,163,Oil,2,tablespoons,,2 tablespoons vegetable oil,exact_name
24,Maffé (West African Peanut Stew) I,22,Chicken breast,1,pound,453.59,"1 pound beef or chicken, cut into cubes",normalized_or_substitute
24,Maffé (West African Peanut Stew) I,119,Onion,1,count,,"1 large onion, finely chopped",exact_name
24,Maffé (West African Peanut Stew) I,114,Garlic,3,cloves,,"3 garlic cloves, minced",exact_name
24,Maffé (West African Peanut Stew) I,161,Peanuts,1,cup,,1 cup smooth peanut butter,normalized_or_substitute
24,Maffé (West African Peanut Stew) I,121,Chili pepper,1,teaspoon,,1 teaspoon chile powder (adjust to your preferred level of spiciness),normalized_or_substitute
24,Maffé (West African Peanut Stew) I,96,Tomatoes,1,can,396.89,1 can (14 ounces) diced tomatoes,exact_name
24,Maffé (West African Peanut Stew) I,94,Carrots,2,count,,"2 carrots, diced",exact_name
24,Maffé (West African Peanut Stew) I,145,Potatoes,2,count,,"2 potatoes, diced",exact_name
24,Maffé (West African Peanut Stew) I,122,Green bell pepper,1,count,,"1 bell pepper (any color of your choice), diced",normalized_or_substitute
24,Maffé (West African Peanut Stew) I,144,Okra,1,cup,,1 cup sliced okra,exact_name
24,Maffé (West African Peanut Stew) I,110,Cilantro,0,garnish,,"Fresh cilantro or parsley, chopped (for garnish)",exact_name
25,Entula (Ugandan Eggplant Stew),113,Eggplant,2,count,,"2 large eggplants, diced",exact_name
25,Entula (Ugandan Eggplant Stew),96,Tomatoes,1,cup,,1 cup diced tomatoes,exact_name
25,Entula (Ugandan Eggplant Stew),119,Onion,1,cup,,1 cup diced onions,exact_name
25,Entula (Ugandan Eggplant Stew),122,Green bell pepper,1,cup,,1 cup diced bell peppers (any color),normalized_or_substitute
25,Entula (Ugandan Eggplant Stew),94,Carrots,1,cup,,1 cup diced carrots,exact_name
25,Entula (Ugandan Eggplant Stew),127,Zucchini,1,cup,,1 cup diced zucchini or squash,exact_name
25,Entula (Ugandan Eggplant Stew),145,Potatoes,1,cup,,1 cup diced potatoes,exact_name
25,Entula (Ugandan Eggplant Stew),114,Garlic,3,cloves,,"3 cloves of garlic, minced",exact_name
25,Entula (Ugandan Eggplant Stew),163,Oil,2,tablespoons,,2 tablespoons vegetable oil,exact_name
25,Entula (Ugandan Eggplant Stew),121,Chili pepper,0.5,teaspoon,,"½ teaspoon chile powder (optional, for heat)",normalized_or_substitute
25,Entula (Ugandan Eggplant Stew),110,Cilantro,0,garnish,,"Fresh cilantro or parsley, chopped (for garnish)",exact_name
26,Couscous bil Khodra (Libyan Vegetable Couscous),133,Olive oil,2,tablespoons,,2 tablespoons olive oil,exact_name
26,Couscous bil Khodra (Libyan Vegetable Couscous),119,Onion,1,count,,"1 onion, finely chopped",exact_name
26,Couscous bil Khodra (Libyan Vegetable Couscous),114,Garlic,2,cloves,,"2 cloves of garlic, minced",exact_name
